Impulse Ozonix,*
ahelpfulrayquaza,~
Marlon+Togedemaru,@
Brawlion -,&
Nyan Kitty,%
aflyingphantom,~
beekay1976,+
superman8900,+
Impulse-E,*
Arti♡Chu~,%
Kris games,%
PokeArt2004,+
ryan#3770,+
No ✿ Pat,@
Anjumi~♡,+
Shivay,&
SynD Green,+
SynD DugZa,+
Rose Elric,@
SynD Alvaroool,+
SynD Flame,+
pokemon shado!!!!!,%
EpicPurplePancake,+
princessglacia,%
SynD Mate,%
SynD Agent Rachel,%
GoldenHell,+
SynD Dinoz,+
NyanCatLilBub,%
Robertisbeast,+
SynD Yoshimitsu,+
Ameena♥~!,@
UnawareMyBae,+
swades,@
A Certain Guy,%
Pokemon 1920,~
Rogue Nation Nick,%
giove 97,%
jackelope12,%
Flamestarter,%
Choraluna,+
Lord-Kyogre,+
NyanLilFluffyBub,%
kceeee,~
Tatsuke(infernape),@
Flood21,%
ProEliiite,&
CutelilSylveon<3,+
Prince Sky,~
J_U_H_C_R_U,+
HardLineInternet,*
